parametro;region;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitacion;A CORUNA;119.84;50.40;67.27;121.59;37.03;54.74;13.72;39.62;51.24;174.58;275.31;188.16;1193.50
Precipitacion;ALBACETE;13.16;3.50;13.58;111.86;6.02;2.66;5.95;17.94;71.05;17.50;39.76;31.22;333.20
Precipitacion;ALICANTE;1.47;0.56;23.87;126.28;4.34;0.77;0.56;31.22;119.70;33.53;12.46;55.86;410.62
Precipitacion;ALMERIA;2.03;3.01;9.94;39.06;1.33;1.40;0.21;1.33;70.28;16.87;16.15;33.60;196.21
Precipitacion;ARABA;135.45;34.44;19.32;55.65;43.12;18.55;42.07;16.52;43.54;44.10;181.79;59.82;693.14
Precipitacion;ASTURIAS;200.62;46.34;32.27;71.05;44.24;50.47;28.84;23.80;43.19;114.24;309.05;155.75;1119.86
Precipitacion;AVILA;20.93;2.45;20.37;53.34;4.41;2.38;9.17;21.91;32.27;40.32;65.59;106.12;379.26
Precipitacion;BADAJOZ;21.49;5.04;17.43;48.16;4.83;0.14;0.56;3.64;5.88;16.66;55.79;62.79;242.41
Precipitacion;ILLES BALEARS;29.54;3.43;8.61;20.86;17.44;0.28;2.94;13.09;45.15;62.93;69.44;49.07;322.77
Precipitacion;BARCELONA;10.01;2.24;2.66;38.22;47.95;14.77;40.74;24.64;40.96;67.83;27.37;64.68;382.06
Precipitacion;BIZKAIA;189.49;34.30;39.20;65.66;64.54;27.37;51.03;24.22;58.54;89.88;294.28;90.72;1029.21
Precipitacion;BURGOS;70.63;19.88;14.98;61.18;21.28;19.32;31.08;11.13;38.85;52.01;117.04;59.71;517.09
Precipitacion;CACERES;22.26;5.32;20.09;60.55;4.90;1.05;2.87;8.54;18.13;29.61;76.09;105.21;354.62
Precipitacion;CADIZ;35.70;4.34;13.16;56.00;0.00;0.49;0.14;0.00;8.26;14.14;74.41;59.92;266.56
Precipitacion;CANTABRIA;231.91;45.22;40.18;67.90;45.43;40.53;49.91;34.72;63.56;127.61;269.22;105.84;1121.03
Precipitacion;CASTELLON;4.76;0.35;14.14;50.75;18.06;1.54;16.52;31.71;48.65;27.44;7.56;70.28;291.76
Precipitacion;CEUTA;39.13;9.94;10.64;55.37;0.00;0.00;0.07;0.00;0.36;21.14;88.44;48.51;273.63
Precipitacion;CIUDAD REAL;18.83;5.11;10.64;70.91;6.30;0.00;2.03;5.32;37.59;17.57;53.55;53.62;281.47
Precipitacion;CORDOBA;29.12;3.64;15.26;53.62;0.42;0.00;0.28;3.43;18.41;15.68;70.35;95.99;306.18
Precipitacion;CUENCA;17.92;2.90;13.23;79.17;7.70;1.05;6.23;19.00;40.03;25.00;54.81;50.47;318.29
Precipitacion;GIPUZKOA;209.30;43.40;46.13;75.25;101.71;38.57;68.81;42.84;45.92;85.75;288.68;104.81;1150.17
Precipitacion;GIRONA;11.00;3.01;3.85;57.26;47.39;18.76;38.08;10.85;50.61;103.25;34.30;65.73;443.08
Precipitacion;GRANADA;21.35;11.34;12.04;63.07;1.89;1.68;0.70;5.74;53.27;13.09;51.52;44.24;279.93
Precipitacion;GUADALAJARA;19.18;4.89;11.41;84.98;7.49;5.11;11.20;17.82;35.07;29.33;57.03;52.71;337.19
Precipitacion;HUELVA;29.47;6.23;12.53;52.22;0.49;0.00;0.07;0.21;10.15;18.55;42.56;97.58;270.06
Precipitacion;HUESCA;37.94;6.58;6.79;64.09;43.75;19.67;28.60;39.91;15.47;75.55;81.68;71.54;497.56
Precipitacion;JAEN;35.77;8.89;12.11;79.17;2.10;0.14;0.28;5.27;55.10;13.72;91.35;79.73;384.51
Precipitacion;LA RIOJA;43.96;18.34;9.59;58.66;29.89;23.59;36.61;13.44;32.27;29.68;80.71;39.27;415.01
Precipitacion;LAS PALMAS;7.00;5.04;11.97;5.81;0.21;0.84;0.35;0.21;0.84;2.52;8.75;19.97;62.51
Precipitacion;LEON;67.20;28.28;22.12;61.39;15.33;38.29;29.19;12.39;28.21;68.44;156.73;145.53;673.05
Precipitacion;LLEIDA;26.02;7.28;3.50;47.18;45.06;16.87;38.01;39.62;19.18;95.55;48.09;56.49;443.73
Precipitacion;LUGO;112.21;37.24;53.76;104.02;29.12;40.67;26.95;18.97;26.89;106.33;270.41;175.28;1001.84
Precipitacion;MADRID;18.97;2.52;8.47;63.28;2.17;1.75;3.85;20.93;40.18;29.75;50.12;65.66;307.58
Precipitacion;MALAGA;25.62;6.79;17.43;47.88;0.08;0.14;0.00;1.12;49.36;9.38;59.50;51.73;268.01
Precipitacion;MELILLA;9.45;5.32;35.70;19.60;0.00;7.28;0.00;1.05;16.80;24.22;39.20;21.56;180.18
Precipitacion;MURCIA;0.49;0.91;12.88;82.53;3.92;1.40;0.98;12.32;110.60;21.91;12.67;34.37;295.98
Precipitacion;NAVARRA;122.01;31.85;21.21;55.09;78.82;28.63;43.28;20.57;27.58;46.99;186.20;81.99;748.51
Precipitacion;OURENSE;79.52;27.09;48.72;124.46;15.47;36.12;21.84;21.49;23.03;105.42;212.59;185.85;901.60
Precipitacion;PALENCIA;31.71;12.81;15.75;44.94;12.11;22.54;23.80;12.36;25.41;59.44;84.49;71.47;416.78
Precipitacion;PONTEVEDRA;118.30;42.49;84.35;159.10;31.10;37.99;15.61;35.70;44.38;139.37;306.09;241.06;1257.20
Precipitacion;SALAMANCA;20.79;7.00;19.04;59.71;4.27;13.30;13.65;21.14;19.74;44.03;75.46;98.70;396.83
